Step,PIB,Desempleo,QuiebrasF,BancosMuertos,FondoRescate
0,699.8166647439915,0.5127118644067796,0,0,0.0
1,795.2559286409372,0.43050847457627117,0,0,0.0
2,950.9415972760045,0.3305084745762712,0,0,0.0
3,1116.658402723996,0.19999999999999996,0,0,0.0
4,1369.800067030345,0.028813559322033888,0,0,0.0
5,1424.981732284923,-0.0008474576271186862,0,0,0.0
6,1410.184822632546,0.0,0,0,0.0
7,1428.2125047308045,0.0,0,0,0.0
8,1396.3079044877506,0.0,0,0,0.0
9,1450.678771010382,0.0,0,0,0.0
10,1352.7746682391835,0.0,0,0,0.0
11,1461.5677399464726,0.0,0,0,0.0
12,1417.2273450500363,0.0,0,0,0.0
13,1391.9390853178627,0.0,0,0,0.0
14,1419.4721503387436,0.0,0,0,0.0
15,1392.4453672648049,0.0,0,0,0.0
16,1421.4547722810746,0.0,0,0,0.0
17,1417.62980287239,0.0,0,0,0.0
18,1409.657367110413,0.0,0,0,0.0
19,1392.411355356294,0.0,0,0,0.0
20,1423.4716921920867,0.0,0,0,0.0
21,1425.0896959666857,0.0,0,0,0.0
22,1393.060980081425,0.0,0,0,0.0
23,1452.6230064202011,0.0,0,0,0.0
24,1390.8419398119102,0.0,0,0,0.0
25,1422.5074347936365,0.0,0,0,0.0
26,1407.199539787246,0.0,0,0,0.0
27,1407.0889901794314,0.0,0,0,0.0
28,1420.4746233844562,0.0,0,0,0.0
29,1351.2940402417644,0.0,0,0,0.0
30,1415.5194613479587,0.0,0,0,0.0
31,1408.0879320063855,0.0,0,0,0.0
32,1432.670963779628,0.0,0,0,0.0
33,1320.7527774270789,0.0,0,0,0.0
34,1317.6088994245374,0.0,0,0,0.0
35,1224.192802771219,0.0,0,0,0.0
36,960.2282651128596,0.0,0,0,0.0
37,797.2442851033464,0.0,0,0,0.0
38,705.4484041926133,0.0,0,0,0.0
39,670.9000454913219,0.0,0,0,0.0
40,673.812706508427,0.0,0,0,0.0
41,687.0163783459046,0.0,0,0,0.0
42,696.3960960718036,0.0,0,0,0.0
43,705.8007492270926,0.0,0,0,0.0
44,723.0127425421796,0.0,0,0,0.0
45,735.6664178539103,0.0,0,0,0.0
46,746.1328885273853,0.0,0,0,0.0
47,760.6271994801133,0.0,0,0,0.0
48,782.5028131066052,0.0,0,0,0.0
49,799.9766869354047,0.0,0,0,0.0
50,811.4109271632625,0.0,0,0,0.0
51,821.0679990259837,0.0,0,0,0.0
52,839.6108847544931,0.0,0,0,0.0
53,852.9193428859447,0.0,0,0,0.0
54,864.3836546090394,0.0,0,0,0.0
55,885.9263939951168,0.0,0,0,0.0
56,901.9002151184548,0.0,0,0,0.0
57,911.5399228448684,0.0,0,0,0.0
58,923.2789364254816,0.0,0,0,0.0
59,932.6438711911769,0.0,0,0,0.0
60,955.209147429422,0.0,0,0,0.0
61,955.9400304744307,0.0,0,0,0.0
62,976.048989752385,0.0,0,0,0.0
63,978.9243624607193,0.0,0,0,0.0
64,992.0085224520012,0.0,0,0,0.0
65,1006.58062569885,0.0,0,0,0.0
66,1014.4935167555354,0.0,0,0,0.0
67,1033.101340830742,0.0,0,0,0.0
68,1038.4218652605168,0.0,0,0,0.0
69,1052.5015672439079,0.0,0,0,0.0
70,1060.1565103166752,0.0,0,0,0.0
71,1071.2285554518241,0.0,0,0,0.0
72,1084.3017071495206,0.0,0,0,0.0
73,1085.2104070219407,0.0,0,0,0.0
74,1101.41074379133,0.0,0,0,0.0
75,1111.1873347950102,0.0,0,0,0.0
76,1115.5560959238976,0.0,0,0,0.0
77,1126.6220305003008,0.0,0,0,0.0
78,1138.3852448991292,0.0,0,0,0.0
79,1140.8032573590524,0.0,0,0,0.0
80,1151.632808579943,0.0,0,0,0.0
81,1154.8459418451528,0.0,0,0,0.0
82,1167.186068244578,0.0,0,0,0.0
83,1174.5778045744844,0.0,0,0,0.0
84,1186.8647856977686,0.0,0,0,0.0
85,1189.0312879766307,0.0,0,0,0.0
86,1197.636846700245,0.0,0,0,0.0
87,1203.871325524526,0.0,0,0,0.0
88,1213.3003218977558,0.0,0,0,0.0
89,1221.5669975516337,0.0,0,0,0.0
90,1225.9968671164975,0.0,0,0,0.0
91,1231.9565541225197,0.0,0,0,0.0
92,1243.259677160636,0.0,0,0,0.0
93,1250.9878930456161,0.0,0,0,0.0
94,1250.3895461093302,0.0,0,0,0.0
95,1260.63393680614,0.0,0,0,0.0
96,1269.2252893211605,0.0,0,0,0.0
97,1277.3589804127714,0.0,0,0,0.0
98,1279.3808688600332,0.0,0,0,0.0
99,1288.4110159255306,0.0,0,0,0.0
100,1291.7771251177337,0.0,0,0,0.0
101,1301.5628535334124,0.0,0,0,0.0
102,1309.4583351617953,0.0,0,0,0.0
103,1316.8531912569747,0.0,0,0,0.0
104,1318.542513509261,0.0,0,0,0.0
105,1325.5025216833112,0.0,0,0,0.0
106,1329.2638210330224,0.0,0,0,0.0
107,1333.082115290646,0.0,0,0,0.0
108,1337.248568366883,0.0,0,0,0.0
109,1342.8202455720366,0.0,0,0,0.0
110,1350.92071449386,0.0,0,0,0.0
111,1355.2555335552627,0.0,0,0,0.0
112,1356.4979849643032,0.0,0,0,0.0
113,1357.952555878554,0.0,0,0,0.0
114,1363.0953524974007,0.0,0,0,0.0
115,1368.431987728143,0.0,0,0,0.0
116,1367.0613029940396,0.0,0,0,0.0
117,1379.6458814853468,0.0,0,0,0.0
118,1370.9665799033255,0.0,0,0,0.0
119,1388.5354290892383,0.0,0,0,0.0
